text,origin
"True that! November's always been for the vets. No change needed, just facts 🤷‍♂️",NS
@user @user Private sector job growth is the norm in America. It's happened in 686 of the past 790 months.,T16
"""Yeah, it's wild! 🤯 Do you think this will actually change anything for him or just more drama? 👀""",NS
@user @user very low paying jobs. Most are summer jobs.,T16
More shots fired just off Parliament Hill. Police telling everyone to take cover.,T16
@user @user common core math,T16
"@user @user can you make this graph go back a few more years, please?",T16
@user Do you think it's more important to trust your gut or rely on verified info when it comes to stuff like this? 🤔,NS
@user They get an award and our soldiers get laughed at...  Thanks commander-in-chief! Well done!,T16
"Honestly, I think it's a great idea! Veterans totally deserve more recognition for their service. 🎖️🇺🇸 They’ve done so much for the country, and dedicating a month to them would be awesome. 💪",NS
"Wow, that's wild! 😲 China's raking in the big bucks! It's crazy how trade can make such a huge impact. I guess they're doing something right. 🤔",NS
"Nah, don't buy it! 🤨 They always say they're innocent. MS-13 ain't a joke, and I bet there's something fishy going on. Better safe than sorry, right? 👎",NS
AFP: suspected #CharlieHebdo gunmen have been killed,T16
"@user Beyond threats, what about causing discomfort to almost everyone, to prevent it for a few? What about my rights, comfort?",T16
@user @user @user @user trump took money from soros. People not as dumb as you think,T16
Totally agree! 🙌 Can't stand the drama there anymore. Elon nailed it! Time for something fresh and fun! 🎉📺,NS
"@user Democrats do not care about Benghazi, emails or Polls including people not running to rig the results",T16
Isn't it crazy how Wisconsin elections are always nail-biters? 😅 Why do you think they always end up so close?,NS
"Wow, that's crazy! 😲 But honestly, investing in education is so important. If it means better schools and opportunities for the kids, I'm all for it! 📚✨",NS
"Do you think public figures should disclose their personal life, or is it none of our business? 🤔",NS
@user @user think we would be quite happy with that in the UK!,T16
"Wait, so is it $1 trillion or not? 🤔 Anyone got the real numbers?",NS
"Is it just me, or does it seem like schools are always asking for more cash? 🤔 How do y'all feel about this tax levy thing?",NS
"@user#Obama has made us weak,in the eyes of the world and can't wait till he's gone!He is racist about racial issues,the world sees this!",T16
"Lol, like Elon would say that! 😂 Tesla's not going anywhere. People just love making up stories. 🙄",NS
"Nah, I don't buy it. Wisconsin universities can manage without that extra cash. 💸 They should focus on making the most of what they already have instead of asking for more money. Not convinced that throwing money at the problem will fix anything. 🤷‍♂️",NS
"@user @user BS, 90 day numbers, back 2 school seasonal hiring included, they're cyclical, gone in 89 days, perm hire cutoff",T16
@user Then there needs to be the same punishment for the man who got her pregnant.It's only fair it does take both to get pregnant,T16
