news_title	news_body
JD Vance “literally wrote” the foreword for the architect of the Project 2025 agenda.	"In June, Sen. JD Vance, R-Ohio, announced that he had written the foreword for Heritage Foundation President Kevin Roberts’ forthcoming book, ""Dawn’s Early Light."" The Heritage Foundation spearheaded Project 2025, a manual containing a wish list of policy proposals in case of a Republican presidential victory in November. Roberts has promoted the work and has often been described as a Project 2025 leader and architect. In July, former President Donald Trump selected Vance as his vice presidential running mate. The Trump-Vance campaign has sought to distance itself from Project 2025."
Says Tim Walz said he carried weapons in war, but “he has not spent a day in a combat zone.”	"Minnesota Gov. Tim Walz, in a 2018 video the Kamala Harris campaign circulated on social media in August, said he wanted to get ""weapons of war that I carried in war"" off the streets. Walz served 24 years in the Army National Guard, winning honors for sharpshooting and weapons training, but he has acknowledged he didn’t see combat duty. A Walz spokesperson said the governor misspoke."
Tim Walz signed into law driver’s licenses for illegal immigrants in Minnesota.	Minnesota Gov. Tim Walz signed a bill that lets people in the state, regardless of immigration status, apply for a license or an ID card. To get a license, people must meet certain requirements, including showing proof that they live in Minnesota, documentation proving their identity and passing a written test on the rules of the road and a driving skills test.
Eric Hovde “wants to repeal the Affordable Care Act, and kick millions off their health insurance.	In comments from 2024, 2017 and 2012, Republican U.S. Senate candidate Eric Hovde said he wants to repeal the Affordable Care Act. Hovde’s website calls for health care reform, but not explicitly repealing the act. Hovde does not lay out specifics for an alternative plan, but said in June he wants to keep protections for preexisting conditions.
Project 2025 would “end Head Start.”	"Head Start is a federally funded program that supports early education and other services for low-income Americans. The Project 2025 conservative policy blueprint says on Page 482 that it would ""Eliminate the Head Start program."""
Black women in the U.S. are “three to four times more likely to die in connection with childbirth than other women.”	The latest data shows that Black women in the U.S. have a maternal mortality rate of 49.5 for every 100,000 live births — nearly three times higher than their non-Hispanic white counterparts. The U.S. has the highest maternal mortality rate among economically comparable nations, data shows, with an overall rate in 2022 of 22.3 maternal deaths per 100,000 live births. Reasons behind the country’s high maternal mortality numbers and its racial disparity, include a lack of health care coverage, no guaranteed paid parental leave, less robust postpartum care, and racial discrimination.
Kamala Harris ”co-sponsored, fully sponsored” the Green New Deal.	"When senators introduced their version of the Green New Deal in February 2019, Harris was one of 11 Democrats who were original co-sponsors. In a Medium post published the day the resolution was introduced, Harris wrote that she was ""proud"" to have signed on as an original Senate co-sponsor."
Under (the Biden) administration we have witnessed the fastest growth of Black-owned small businesses in more than 30 years.	Milwaukee County Executive David Crowley’s claim was almost identical to a statement the White House made earlier this year. PolitiFact had ruled that original Biden administration claim as True. The U.S. Census Bureau and the Federal Reserve Board data reported record levels of Black business ownership in 2021 and 2022.
Wisconsin had a “record-breaking year” for tourism in 2023.	The $25.6 billion number includes $15.7 in direct visitor spending, plus indirect effects such as wages being spent in local economies. Not all counties benefit equally from tourism in Wisconsin, but all saw at least some increase from 2022 to 2023. It’s common for Wisconsin to set a tourism record every year, but the pandemic caused a dip from which the state has largely recovered.
Under federal law, former President Donald Trump’s “felony convictions mean he can no longer possess guns.”	Federal law prohibits people with felony convictions from possessing or acquiring firearms. Former President Donald Trump is also prohibited from possessing a gun under state laws in Florida, where he lives, and in New York, where he was convicted. Trump has said in the past that he owns guns, but it’s unclear whether he does in 2024.
“Violent crime is near a record 50-year low.”	The FBI’s violent crime rate for 2022, the last year officially available, was 370 violent crimes per 100,000 population. Since 1972, only two years have had a lower violent crime rate: 2014 and 2019. Preliminary estimates for 2023 show the violent crime rate continuing to fall. If that is replicated in the final FBI data, 2023 will become the lowest year for the violent crime rate in 50 years.
“Nearly 90% of all UW graduates stay in Wisconsin 5 years after they graduate.”	Wisconsin recently passed legislation guaranteeing the top 5% of high schoolers admission to UW campuses. The majority of in-state UW students will stay in Wisconsin after they graduate. For in-state students, 87% will still live in Wisconsin five years after graduation.
“We passed 27 bills last year, which is the fewest since the Depression.”	During 1931-1933, the 72nd Congress passed only 21 bills. Last year, the 118th Congress passed only 27 bills, the smallest since the 21 bills during the Great Depression.
“The United States is an outlier, one of only about half a dozen countries, without any guarantee of paid leave for new parents and/or other health care needs.”	The U.S. requires 12 weeks of unpaid leave a year for parents of newborn or newly adopted children if the parents work for a company with 50 or more employees. Thirteen states and the District of Columbia have enacted mandatory paid family leave systems. Eight other states have voluntary systems that provide paid family leave through private insurance. These policies apply to individual states and the District of Columbia — not to the U.S. as a whole. The U.S. is an outlier on paid maternity and parental leave, joining a handful other smaller countries on that list.
“We’ve had 12 elections in 24 years in Wisconsin that have been decided by less than 30,000 votes.”	As of 2024, Wisconsin has had a dozen close-call races in the last two decades. Those include presidential, attorney general, gubernatorial and state Supreme Court races.
“We’re facing situations these days where you have to have two officers in the evidence room in case there’s an accidental (fentanyl) exposure.”	Fentanyl is a synthetic opioid known for its ability to kill in small quantities, though it is most dangerous via inhalation or ingestion. There is guidance from the Wisconsin Law Enforcement Accreditation Group that two officers be present when drugs are handled in evidence rooms, one inside the processing room and one outside to ensure the other is safe. The Madison Police Department, the Sheboygan Sheriff’s Department and the Waukesha Police Department all have similar policies in place.
When it comes to how many votes (President) Joe Biden won, it was literally less than a few votes per ward	Godlewski was referring to all wards in the state of Wisconsin, not a specific city or county. Taking President Joe Biden’s vote margin and dividing it by the total number of wards does result in about three voters per ward. Godlewski is taking wards together as an average, and different parts of the state would have delivered more or less votes for Biden.
Gaza has “the highest number of people facing catastrophic hunger ever recorded by the Integrated Food Security Classification system — anywhere, anytime.”	"A March report compiled by organizations that evaluate global food emergencies said 677,000 people in Gaza face ""catastrophic"" food insecurity, based on the Integrated Food Security Phase Classification system. We found no instances in which more people have been classified as experiencing ""catastrophic"" hunger or famine conditions in any one location since the 2004 creation of the tracking system. The classification system is not used in all countries and sometimes the data used to track food insecurity is unavailable or incomplete."
